total_t,total_f,prep_t,prep_f,minor_t,minor_f,teach_q_t,teach_q_f,vdip_t,vdip_f,ip_t,dip_f,bsc_t,bsc_f,hdip_t,hdip_f,msc_t,Msc_f,phd_t,phd_f,program_en,program_ar,prog_isced2,prog_isced1,inst,inst_type
21,6,,,,,,,,,,,,,,,21,6,,,Computing,الحوسبة,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
518,218,,,,,,,,,,,518,218,,,,,,,Computer Science,علم الحاسوب,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
69,23,,,,,,,,,,,,,,,69,23,,,Software Engineering,هندسة البرمجيات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
389,97,,,,,,,,,,,389,97,,,,,,,Electrical Engineering,الهندسة الكهربائية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
267,39,,,,,,,,,,,267,39,,,,,,,Mechanical Engineering,الهندسة الميكانيكية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
457,225,,,,,,,,,,,457,225,,,,,,,Computer Engineering,هندسة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
220,50,,,,,,,,,,,220,50,,,,,,,Mechatronics Engineering,ميكاترونيكس,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
36,8,,,,,,,,,,,,,,,36,8,,,Electrical Engineering,الهندسة الكهربائية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
78,62,,,,,,,,,,,78,62,,,,,,,,هندسة التخطيط والتصميم الحضري,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
66,36,,,,,,,,,,,66,36,,,,,,,Engineering and Technology - General,الهندسة والتكنولوجيا - عام,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
238,121,,,,,,,,,,,238,121,,,,,,,Computer Systems Engineering,هندسة انظمة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
6,2,,,,,,,,,,,,,,,6,2,,,Sustainable Engineering In Production,هندسة الإستدامة في الإنتاج,"التصنيع والصناعات التحويلية
Manufacturing & Processing","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
10,6,,,,,,,,,,,10,6,,,,,,,Environmental Engineering,الهندسة البيئية,"التصنيع والصناعات التحويلية
Manufacturing & Processing","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
27,13,,,,,,,,,,,,,,,27,13,,, Water & Environmental  Engineering,هندسة المياه والبيئة,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
605,166,,,,,,,,,,,605,166,,,,,,,Civil Engineering,الهندسة المدنية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
396,281,,,,,,,,,,,396,281,,,,,,,Architecture Engineering,الهندسة المعمارية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
16,13,,,,,,,,,,,,,,,16,13,,,Urban Planning and Landscape Architecture ,هندسة التخطيط العمراني وعمارة المشهد,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
34,31,,,,,,,,,,,,,,,34,31,,,Community & Public Health,الصحة العامة والمجتمعية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
37,26,,,,,,,,,,,,,,,37,26,,, Clinical Laboratory Science,العلوم الطبية والمخبرية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
140,139,,,,,,,,,,,140,139,,,,,,,Nutrition and Dietetics,التغذية والحمية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
232,165,,,,,,,,,,,232,165,,,,,,,Nursing,التمريض,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
248,220,,,,,,,,,,,248,220,,,,,,,Doctor of Pharmacy,دكتور صيدلي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
174,163,,,,,,,,,,,174,163,,,,,,, Audiology and Speech Therapy,علاج النطق والسمع,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
30,24,,,,,,,,,,,,,,,30,24,,,Industrial Pharmaceutical Technology, تكنولوجيا الصناعة الدوائية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة بيرزيت
Birzeit University","جامعات تقليدية
Traditional Universities"
68,53,,,,,,,,,,,,,,,68,53,,,Educational Management,الإدارة التربوية,"علوم التربية
Education Science","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
98,82,,,,,,,,,,,,,,,98,82,,,Curriculum & Teaching Methods,المناهج وأساليب التدريس,"علوم التربية
Education Science","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
55,39,,,,,,,,,,,,,,,55,39,,,ماجستير الارشاد النفسي والتربوي,ماجستير الارشاد النفسي والتربوي,"علوم التربية
Education Science","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
24,19,,,,,,,,,,,,,,,24,19,,,,تربية الموهوبين ,"علوم التربية
Education Science","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Teaching Methods & Training,أساليب التدريس والتدريب,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
49,38,,,,,,,,,,,49,38,,,,,,,Teaching Methods of  Social Sciences ,الإجتماعيات وأساليب تدريسها ,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
49,45,,,,,,,,,,,49,45,,,,,,,Teaching Methods of Math,أساليب تدريس الرياضيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,1,1,,,,,,,Teaching Methods of General Science,العلوم العامة وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
59,53,,,,,,,,,,,59,53,,,,,,,Teaching Methods of Arabic Language,اللغة العربية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
76,66,,,,,,,,,,,,,,,76,66,,,Teaching Methods of English Language,اللغة الإنجليزية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
66,51,,,,,,,,,,,,,,,66,51,,,Teaching Methods of Math,أساليب تدريس الرياضيات,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
27,19,,,,,,,,,,,,,,,27,19,,,Teaching Methods of General Science,العلوم العامة وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
539,212,,,,,,,,,,,539,212,,,,,,,Physical Education,التربية الرياضية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
71,27,,,,,,,,,,,,,,,71,27,,,Physical Education,التربية الرياضية,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
240,231,,,,,,,,,,,240,231,,,,,,,مرحلة اساسية دنيا,مرحلة اساسية دنيا,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
388,338,,,,,,,,,,,388,338,,,,,,,Education: Higher Primary Stage Teacher's Specialization/Teaching English,التربية معلم المرحلة الاساسية العليا - تعليم اللغة الانجليزية ,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
12,10,,,,,12,10,,,,,,,,,,,,,Diploma of Educational Qualification,دبلوم التأهيل التربوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
36,36,,,,,,,,,,,36,36,,,,,,,Kindergarten,رياض الاطفال ,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
81,75,,,,,,,,,,,81,75,,,,,,, Imaging,التصوير,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
477,290,,,,,,,,,,,477,290,,,,,,,Interior Design,الديكور,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
62,34,,,,,,,,,,,62,34,,,,,,,Music,الموسيقى,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
219,152,,,,,,,,,,,219,152,,,,,,,Graphics Design,التصميم الجرافيكي,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
40,35,,,,,,,,,,,40,35,,,,,,,Erathenwar,الخزف,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
85,59,,,,,,,,,,,85,59,,,,,,,History,التاريخ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
409,361,,,,,,,,,,,409,361,,,,,,,English Language & Literature,اللغة الإنجليزية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
128,94,,,,,,,,,,,128,94,,,,,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
44,38,,,,,,,,,,,44,38,,,,,,,French Language & Literature,اللغة الفرنسية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
65,23,,,,,,,,,,,,,,,65,23,,,Jurisprudence,الفقه والتشريع,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
19,14,,,,,,,,,,,,,,,19,14,,,History,التاريخ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
47,33,,,,,,,,,,,,,,,47,33,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
69,54,,,,,,,,,,,,,,,69,54,,,Applied Linguistics & Translation,اللغويات التطبيقية والترجمة,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
47,17,,,,,,,,,,,,,,,47,17,,,Religion Fundamentals,أصول الدين,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
161,114,,,,,,,,,,,161,114,,,,,,,Jurisprudence,الفقه والتشريع,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
144,99,,,,,,,,,,,144,99,,,,,,,Religion Fundamentals,أصول الدين,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
397,267,,,,,,,,,,,397,267,,,,,,,Shareea' and Islamic Banking,الشريعه والمصارف الاسلاميه,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
145,102,,,,,,,,,,,145,102,,,,,,,Archeology,سياحة وآثار,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
193,179,,,,,,,,,,,193,179,,,,,,,رئيسي اللغة الإنجليزية وآدابها - فرعي اللغة الفرنسية,رئيسي اللغة الإنجليزية وآدابها - فرعي اللغة الفرنسية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
42,38,,,,,,,,,,,42,38,,,,,,,رئيسي اللغة الإنجليزية وآدابها - فرعي الدراسات الأمريكية,رئيسي اللغة الإنجليزية وآدابها - فرعي الدراسات الأمريكية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
69,59,,,,,,,,,,,69,59,,,,,,,رئيسي اللغة الفرنسية - فرعي اللغة الإنجليزية,رئيسي اللغة الفرنسية - فرعي اللغة الإنجليزية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
247,116,,,,,,,,,,,247,116,,,,,,,رئيسي الجغرافيا - فرعي جيوماتكس ,رئيسي الجغرافيا - فرعي جيوماتكس ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
6,4,,,,,,,,,,,6,4,,,,,,,Arabic Language and Literature / Hebrew Language,اللغة العربية وآدابها / فرعي اللغة العبرية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
13,9,,,,,,,,,,,13,9,,,,,,, Arabic Language and Literature/ Education,اللغة العربية وآدابها/فرعي تربية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
24,21,,,,,,,,,,,24,21,,,,,,,English Language and Literature / Hebrew Language,اللغة الانجليزية وآدابها / فرعي اللغة العبرية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
4,1,,,,,,,,,,,,,,,,,4,1,,الفقه واصوله,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
15,5,,,,,,,,,,,,,,,,,15,5,Arabic language and its literature,اللغة العربية وآدابها ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
23,8,,,,,,,,,,,23,8,,,,,,,Main Principles of Religion Arabic Language,رئيسي اصول الدين فرعي اللغة العربية ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
6,5,,,,,,,,,,,6,5,,,,,,,,التاريخ فرعي تربية ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,1,1,,,,,,,English Language and Literature,اللغة الانجليزية وآدابها فرعي تربية ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
29,23,,,,,,,,,,,29,23,,,,,,,Geography,الجغرافيا,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
168,159,,,,,,,,,,,168,159,,,,,,,Sociology,علم الإجتماع والخدمة الإجتماعية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
103,67,,,,,,,,,,,103,67,,,,,,,Economics,الإقتصاد,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
143,70,,,,,,,,,,,143,70,,,,,,,Political Science,العلوم السياسية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
13,8,,,,,,,,,,,,,,,13,8,,,Geography,الجغرافيا,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
73,25,,,,,,,,,,,,,,,73,25,,,التخطيط والتنمية السياسية,التخطيط والتنمية السياسية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
301,264,,,,,,,,,,,301,264,,,,,,,Psychology & Psychological Counseling,علم النفس والإرشاد النفسي,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
21,20,,,,,,,,,,,,,,,21,20,,,دراسات المرأة,دراسات المرأة,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
276,230,,,,,,,,,,,276,230,,,,,,,الصحافة المكتوبة والالكترونية,الصحافة المكتوبة والالكترونية,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
296,230,,,,,,,,,,,296,230,,,,,,,الاذاعة والتلفزيون,الاذاعة والتلفزيون,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
630,510,,,,,,,,,,,630,510,,,,,,,العلاقات العامة والاتصال,العلاقات العامة والاتصال,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
148,41,,,,,,,,,,,148,41,,,,,,,Marketing,التسويق ,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
534,283,,,,,,,,,,,534,283,,,,,,,Banking and Finance Science,العلوم المالية والمصرفية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1185,606,,,,,,,,,,,1185,606,,,,,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
359,221,,,,,,,,,,,359,221,,,,,,,Business Administration,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
18,8,,,,,,,,,,,,,,,18,8,,,Economic Policy Management,إدارة السياسة الإقتصادية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
68,37,,,,,,,,,,,,,,,68,37,,,Tax Disputes ,المنازعات الضريبية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
71,45,,,,,,,,,,,,,,,71,45,,,Business Administration,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
71,49,,,,,,,,,,,,,,,71,49,,,Management of Engineering,الإدارة الهندسية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,,,1,,,,,,Business Administration,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
19,3,,,,,,,,,,,,,,,19,3,,,هندسة الانشاءات - ماجستير,هندسة الانشاءات - ماجستير,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
52,29,,,,,,,,,,,,,,,52,29,,,ماجستير محاسبه,ماجستير محاسبه,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
12,10,,,,,,,,,,,,,,,12,10,,,ماجستير علوم صيدلانيه - علم الادويه,ماجستير علوم صيدلانيه - علم الادويه,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,,,1,1,,,,,High Diploma/ Accounting,الدبلوم العالي/المحاسبه,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
7,4,,,,,,,,,,,,,,,7,4,,, ادارة مخاطر الكوارث, ادارة مخاطر الكوارث,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
17,10,,,,,,,,,,,,,,,17,10,,,Finance,تمويل,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
33,23,,,,,,,,,,,,,,,33,23,,,Contemporary Public Relations,العلاقات العامة المعاصرة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
18,13,,,,,,,,,,,,,,,18,13,,,,ادارة الصحة العامة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
90,42,,,,,,,,,,,,,,,90,42,,,Special Law,القانون الخاص,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
58,27,,,,,,,,,,,,,,,58,27,,,General Law,القانون العام,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
1383,843,,,,,,,,,,,1383,843,,,,,,,Law,القانون,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة النجاح الوطنية
An-Najah National University","جامعات تقليدية
Traditional Universities"
